Sherbet,95,95
Pizza,150,150
Low fat, low sugar ice milk,153,153
Cheese (Swiss),69,69
Feta or goat cheese,100,100
Mozzarella cheese (part skim),85.61700,86
Low fat cheddar or Swiss,48.00000,48
Cottage cheese,108.15000,108
Ricotta cheese,95.94000,96
Lowfat cottage cheese,81.36000,81
Cream cheese (regular),50.60500,51
Low fat cream cheese,34.65000,35
American cheese (processed),70.56000,71
Fat-free American cheese,31.08000,31
Cheese spread or dip,100.24333,100
Cream cheese dip,106.20000,106
Cheese sauce,109.35000,109
Cheese sauce, low fat,79.58250,80
Alfredo sauce,249.07500,249
Fried cheese sticks,502.92000,503
Grilled steak (eat lean only),181.24000,181
Fried steak (eat lean & fat),264.96000,265
Fried steak (eat lean only),211.60000,212
Breaded fried steak (eat lean & fat),801.90000,802
